part,feature_area,rust_surface,c_surface,python_surface,decision,evidence,next_action
ISO11783-1,general-role-boundaries,role documentation only,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain role-boundary docs and standard-suite checks
ISO11783-2,physical-layer-configuration,src/net/can_bus_config.rs,machbus_validate_can_bus_config and machbus_enforce_iso_can_config,validate_can_bus_config and enforce_iso_can_config,facade-exposed,standard-suite-and-bindings,maintain Rust C and Python physical config validation parity tests
Bindings,c-abi-version-probe,src/ffi.rs MACHBUS_C_ABI_VERSION,machbus_abi_version,no runtime Python API,internal-only,binding-contract,maintain C ABI v2 probe in Rust tests C examples and docs when exported C surface changes
ISO11783-2,physical-layer-adapter-evidence-contract,hardware adapter evidence metadata,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain adapter evidence matrix checks
ISO11783-2,physical-layer-sample-point-finiteness,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain non-finite sample-point rejection test
ISO11783-2,physical-layer-sample-point-window-boundary,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain sample-point window boundary tests
ISO11783-2,physical-layer-explicit-bit-timing-consistency,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain explicit bit-timing consistency test
ISO11783-3,data-link-identifiers-and-transport,src/net,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,add strict identifier constructor facades only if callers need raw identifiers
ISO11783-3,data-link-tp-etp-transport-state-matrix,TP ETP transport state matrix and standard tests,no extra C API,no extra Python API,internal-only,standard-suite,maintain transport-state matrix coverage test
ISO11783-3,data-link-identifier-pdu-boundaries,Identifier constructors and accessors,no extra C API,no extra Python API,internal-only,standard-suite,maintain PDU1/PDU2 identifier boundary tests
ISO11783-3,data-link-priority-public-strict-decoder,Priority strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain priority public strict decoder test
ISO11783-3,data-link-acknowledgment-control-public-strict-decoder,AckControl strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain ACK control public strict decoder test
ISO11783-3,data-link-request-ack-canonical-payloads,Request and Acknowledgment payload codecs,no extra C API,no extra Python API,internal-only,standard-suite,maintain request and acknowledgement canonical payload tests
ISO11783-3,data-link-utility-control-pgns,pgn_request Acknowledgment Request2Msg TransferMsg and Request2Responder,Request2 through the session facade where enabled,Request2 through the session facade where enabled,partial-facade,standard-suite-and-bindings,maintain utility control PGN tests Request2 no-reply invalid-source and null-destination tests plus session facade coverage
ISO11783-3,data-link-utility-full-message-envelope-validation,Request Acknowledgment Request2 and Transfer full-message helpers,no extra C API,no extra Python API,internal-only,standard-suite,maintain utility helper wrong-PGN invalid-source and null-destination test
ISO11783-3,j1939-time-date-full-message-envelope-validation,TimeDate decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain TimeDate full-message PGN source and PDU2 destination envelope test
ISO11783-3,j1939-proprietary-message-envelope-classifier,ProprietaryMsg classifier,no extra C API,no extra Python API,rust-only,standard-suite,maintain proprietary message PGN source and destination envelope classifier test
ISO11783-3,data-link-group-function-carrier-and-responder-policy,GroupFunctionMsg and GroupFunctionResponder,session group-function responder where enabled,session group-function responder where enabled,partial-facade,standard-suite-and-bindings,maintain group-function carrier responder-policy invalid-source null-destination and no-loop tests
ISO11783-3,data-link-group-function-public-error-strict-decoder,GroupFunctionError strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain group-function public error strict decoder test
ISO11783-3,data-link-transport-abort-public-strict-decoder,TransportAbortReason strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain transport abort public strict decoder test
ISO11783-3,tp-rts-window-and-bam-canonical-fields,TransportProtocol RTS and BAM control-frame builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain RTS window and BAM canonical-field test
ISO11783-3,tp-etp-invalid-endpoint-frame-rejection,TransportProtocol and ExtendedTransportProtocol ingress endpoint validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain invalid endpoint no-mutation transport test
ISO11783-3,tp-etp-single-dt-endpoint-session,TransportProtocol ExtendedTransportProtocol and IsoNet queued admission guards,no extra C API,no extra Python API,internal-only,standard-suite,maintain DT endpoint exclusivity and queued-transmit tests
ISO11783-3,tp-etp-timeout-window-aborts,TransportProtocol and ExtendedTransportProtocol update timeout handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain TP and ETP timeout-window tests
ISO11783-3,tp-auxiliary-timer-session-windows,TransportProtocol auxiliary timer-session API,no extra C API,no extra Python API,internal-only,standard-suite,maintain endpoint validation keepalive T3 and T4 auxiliary timer tests
ISO11783-3,tp-dt-sequence-abort-boundaries,TransportProtocol DT sequence validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain TP DT skipped duplicate and wrong-source sequence tests
ISO11783-3,etp-dpo-dt-sequence-window-boundaries,ExtendedTransportProtocol DPO and DT sequence validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain ETP DPO window and DT skipped-sequence tests
ISO11783-4,network-interconnect,src/net/niu.rs,not-exposed,not-exposed,rust-only,standard-suite,maintain NIU persistent-filter tests and decide if NIU configuration should remain internal until hardware evidence
ISO11783-4,network-interconnect-state-matrix,NIU router topology coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain network interconnect matrix coverage test
ISO11783-4,niu-persistent-filter-runtime-clear,Niu persistent filter runtime state,no extra C API,no extra Python API,internal-only,standard-suite,maintain persistent-filter runtime clear test
ISO11783-4,niu-rate-limited-filter-window-and-policy-snapshot,Niu filter rate limiter and policy snapshot,not-exposed,not-exposed,rust-only,standard-suite,maintain rate-limited filter window and snapshot test
ISO11783-4,niu-filter-mode-control-default-gating,Niu Network Message filter mode handling,not-exposed,not-exposed,rust-only,standard-suite,maintain filter-mode control default-gating tests
ISO11783-4,niu-filter-rule-name-and-reserved-bit-validation,FilterRule and NiuNetworkMsg decoders,not-exposed,not-exposed,rust-only,standard-suite,maintain filter rule NAME and reserved-bit tests
ISO11783-4,network-interconnect-public-policy-strict-decoder,ForwardPolicy and NiuFilterMode strict public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain network policy public strict decoder test
ISO11783-4,niu-name-scoped-filter-observation-gate,Niu observed NAME cache and name-scoped filter resolution,not-exposed,not-exposed,rust-only,standard-suite,maintain NAME-scoped filter observation-gate test
ISO11783-4,niu-ingress-source-and-control-source-validation,Niu process_frame and control-message source/destination validation,not-exposed,not-exposed,rust-only,standard-suite,maintain invalid data/control source and destination tests
ISO11783-4,network-interconnect-topology-loop-guard,Niu and NiuConfig loop-guard topology behavior,not-exposed,not-exposed,rust-only,standard-suite,maintain line fork and ring topology standard-suite tests
ISO11783-4,network-interconnect-translation-admission,Router translation table admission,not-exposed,not-exposed,rust-only,standard-suite,maintain unique claimable address translation admission test
ISO11783-4,network-interconnect-bidirectional-translation-and-cannot-claim,Router destination translation and Cannot Claim forwarding,not-exposed,not-exposed,rust-only,standard-suite,maintain bidirectional translation and Cannot Claim router test
ISO11783-5,network-management,src/net/address_claimer.rs,facade-through-session,facade-through-session,facade-exposed,standard-suite-and-bindings,keep NAME management workflow parity tests current
ISO11783-5,network-management-state-matrix,Address claim NAME-management and commanded-address coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain network-management matrix coverage test
ISO11783-5,network-management-address-claim-request-and-contest-state,AddressClaimer claim-state machine,session-routed address-claim,session-routed address-claim,facade-exposed,standard-suite-and-bindings,maintain address-claim request response and contest ordering tests
ISO11783-5,network-management-reclaim-random-delay-bound,AddressClaimer reclaim delay clamp,no extra C API,no extra Python API,internal-only,standard-suite,maintain reclaim random-delay bound test
ISO11783-5,network-management-pending-reclaim-address-refresh,AddressClaimer delayed reclaim address selection,no extra C API,no extra Python API,internal-only,standard-suite,maintain pending reclaim occupied-address refresh tests
ISO11783-5,network-management-delayed-reclaim-request-quiet,AddressClaimer delayed reclaim request handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain delayed reclaim quiet request test
ISO11783-5,network-management-duplicate-name-cannot-claim-retry-guard,AddressClaimer duplicate NAME failure path,no extra C API,no extra Python API,internal-only,standard-suite,maintain duplicate NAME Cannot Claim retry-guard tests
ISO11783-5,network-management-name-management-public-strict-decoders,NameMgmtMode and NameNackReason strict public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain NAME-management public strict decoder test
ISO11783-5,network-management-name-management-request-address-claim,NameManager request-address-claim signal and response,no extra C API,no extra Python API,internal-only,standard-suite,maintain targeted RequestAddressClaim no-loop codec test
ISO11783-5,network-management-malformed-name-management-event-gate,NameManager payload decoder and event gate,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed NAME-management event-gate test
ISO11783-5,network-management-name-management-pending-adoption-state-safety,NameManager pending NAME state machine,no extra C API,no extra Python API,internal-only,standard-suite,maintain pending NAME query and adoption state-safety tests
ISO11783-5,network-management-ingress-source-and-envelope-validation,NameManager ingress envelope validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain invalid-source wrong-PGN and invalid-destination ingress validation tests
ISO11783-5,network-management-commanded-address-target-validation,NameManager Commanded Address handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain commanded-address target validation test
ISO11783-5,network-management-invalid-local-preferred-address,AddressClaimer startup guard,session builder validation should prevent this before facade use,session builder validation should prevent this before facade use,internal-only,standard-suite,maintain invalid preferred-address cannot-claim test
ISO11783-5,network-management-cannot-claim-partner-state,IsoNet Address Claimed ingress and PartnerCf state,session-observable partner state,session-observable partner state,facade-exposed,standard-suite,maintain Cannot Claim partner-state regression test
ISO11783-5,network-management-restart-claiming-stability,IsoNet AddressClaimer restart workflow,session-routed address-claim,session-routed address-claim,facade-exposed,standard-suite,maintain restarted claim same NAME and address test
ISO11783-5,network-management-later-lower-name-reclaim,IsoNet AddressClaimer later peer arbitration,session-routed address-claim,session-routed address-claim,facade-exposed,standard-suite,maintain later lower-NAME reclaim test
ISO11783-6,virtual-terminal,src/isobus/vt,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,map every VT command to exposed or intentionally internal
ISO11783-6,vt-render-runtime,src/isobus/vt/render,no runtime C API,no runtime Python API,rust-only,standard-suite-and-book-ledger,keep hosted IopDocument VtRenderRuntime RenderCommand and FramebufferRenderer Rust-only until a stable buffer and ownership facade is designed
ISO11783-6,vt-lifecycle-state-matrix,VT lifecycle object AUX and language coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain VT lifecycle matrix coverage test
ISO11783-6,vt-command-code-direction-boundaries,VT command-code classification,no extra C API,no extra Python API,internal-only,standard-suite,maintain command-code direction-boundary test
ISO11783-6,vt-ingress-envelope-and-source-validation,VTClient VTServer tracker auxiliary discovery and session VT ingress handlers,session-routed VT,session-routed VT,partial-facade,standard-suite,maintain raw and session invalid-source wrong/null-destination and wrong-PGN ingress tests
ISO11783-6,vt-state-tracker-envelope-and-source-validation,VTClientStateTracker raw ingress validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain state-tracker envelope and source validation test
ISO11783-6,vt-client-memory-session-and-source-binding,VTClient memory/session binding,session-routed VT client,session-routed VT client,partial-facade,standard-suite,maintain memory response and negotiated-source tests
ISO11783-6,vt-client-disconnect-rebind-source,VTClient disconnect and source rebinding,session-routed VT client,session-routed VT client,partial-facade,standard-suite,maintain disconnect source-clear and rebind test
ISO11783-6,vt-server-object-pool-upload-state-machine,VTServer object-pool upload state machine,session-routed VT server,session-routed VT server,partial-facade,standard-suite,maintain upload state-machine tests
ISO11783-6,vt-server-delete-object-pool-canonical-reset,VTServer Delete Object Pool reset handling,session-routed VT server,session-routed VT server,partial-facade,standard-suite,maintain canonical delete-object-pool reset test
ISO11783-6,vt-server-runtime-command-reference-gates,VTServer runtime command validators,session-routed VT server,session-routed VT server,partial-facade,standard-suite,maintain activated-pool and object-reference gate tests
ISO11783-6,vt-value-change-payload-canonicality,VT value-change client server and tracker payload validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain value-change canonical payload test
ISO11783-6,vt-unsupported-function-canonical-and-bound,VTClient and VTServer Unsupported Function handling,session-routed VT,session-routed VT,partial-facade,standard-suite,maintain unsupported-function canonical and source-binding test
ISO11783-6,vt-aux-capability-and-assignment-runtime,AUX capability discovery and assignment runtime,session-routed VT auxiliary,session-routed VT auxiliary,facade-exposed,standard-suite-and-bindings,maintain AUX capability and assignment tests
ISO11783-6,vt-auxiliary-status-session-ingress-validation,Auxiliary status codecs and session ingress,session-routed AUX status,session-routed AUX status,facade-exposed,standard-suite,maintain AUX status session ingress invalid-source invalid-destination and malformed-payload tests
ISO11783-6,vt-auxiliary-public-function-strict-decoders,AuxFunctionType and AuxFunctionState strict decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain AUX public strict decoder test
ISO11783-6,vt-auxiliary-public-function-envelope-validation,AuxOFunction and AuxNFunction decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain AUX public envelope decoder test
ISO11783-6,vt-alarm-priority-public-strict-decoder,VT AlarmPriority strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain VT alarm priority strict decoder test
ISO11783-6,vt-activation-code-public-strict-decoder,ActivationCode strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain VT activation strict decoder test
ISO11783-6,vt-client-version-language-validation,VTClient version and language handlers plus session Language Command ingress,session-routed VT client and Language Command,session-routed VT client and Language Command,partial-facade,standard-suite,maintain version-label language invalid-source invalid-destination destination-metadata and malformed-payload tests
ISO11783-6,vt-language-command-public-unit-strict-decoders,Language Command unit preference strict decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain Language Command public unit strict decoder test
ISO11783-6,vt-language-command-public-envelope-validation,LanguageData decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain Language Command public envelope decoder test
ISO11783-6,vt-stored-version-label-header-canonicality,VTServer persistent working-set header decoder,no extra C API,no extra Python API,internal-only,standard-suite,maintain stored version label header canonicality test
ISO11783-6,vt-local-language-preference-validation,VTClient local language preference plus session facade,machbus_vt_set_language,Machbus.vt_set_language,facade-exposed,standard-suite-and-bindings,maintain local language preference validation test and binding rejection paths
ISO11783-6,vt-version-list-label-validation,VTClient version-list response decoder,session-routed VT client,session-routed VT client,partial-facade,standard-suite,maintain version-list label validation test
ISO11783-6,vt-version-operation-response-canonicality,VTClient version operation response decoder,session-routed VT client,session-routed VT client,partial-facade,standard-suite,maintain version operation response canonicality test
ISO11783-6,vt-object-pool-exact-working-set-count,ObjectPool validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain exact Working Set count tests
ISO11783-6,vt-object-public-type-strict-decoders,ObjectType and GestureType strict public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain VT object public type strict decoder test
ISO11783-6,vt-object-pool-working-set-child-types,ObjectPool validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain Working Set child type validation test
ISO11783-6,vt-object-pool-soft-key-key-group-child-types,ObjectPool validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain SoftKeyMask and KeyGroup child type validation test
ISO11783-6,vt-object-pool-serialization-and-body-validation,ObjectPool serialization and typed-body validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain serialization duplicate unknown and malformed-body tests
ISO11783-6,vt-object-pool-typed-reference-validation,ObjectPool typed reference validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain typed body and auxiliary reference tests
ISO11783-6,vt-object-pool-null-object-id-rejection,ObjectPool add and deserialize validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain NULL object ID rejection test
ISO11783-7,implement-messages,src/isobus/implement,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,decide per message family after complete inventory
ISO11783-7,implement-message-state-matrix,Implement message family coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain implement message matrix coverage test
ISO11783-7,implement-heartbeat-tracker-envelope,HeartbeatTracker raw handler,no extra C API,no extra Python API,internal-only,standard-suite,maintain heartbeat PGN source destination width and reserved-sequence rejection test
ISO11783-7,implement-heartbeat-request-envelope,HeartbeatRequest full-message helper,no extra C API,no extra Python API,rust-only,standard-suite,maintain heartbeat request envelope rejection test
ISO11783-7,implement-heartbeat-receiver-reserved-sequence-liveness,HeartbeatReceiver liveness state machine,no extra C API,no extra Python API,rust-only,standard-suite,maintain heartbeat receiver reserved-sequence liveness test
ISO11783-7,implement-shortcut-button-envelope-validation,Shortcut Button ISB decoder,no extra C API,no extra Python API,internal-only,standard-suite,maintain shortcut button wrong-PGN invalid-source invalid-destination and noncanonical-payload rejection test
ISO11783-7,implement-shortcut-button-public-strict-decoder,ShortcutButtonState strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain shortcut button public strict decoder test
ISO11783-7,implement-lighting-and-session-ingress-envelope-validation,Lighting helper and implement session ingress,no extra C API,no extra Python API,internal-only,standard-suite,maintain lighting wrong-PGN invalid-source PDU2-destination helper and session-ingress test
ISO11783-7,implement-stack-malformed-ingress-no-mutation,Implement session malformed payload ingress,no extra C API,no extra Python API,internal-only,standard-suite,maintain malformed implement payload no-mutation test
ISO11783-7,implement-public-enum-strict-try-decoders,implement message public enum try_from_u8 helpers,no extra C API,no extra Python API,rust-only,standard-suite,maintain implement public enum strict decoder test
ISO11783-7,implement-public-packed-status-strict-decoders,implement packed status public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain packed status public strict decoder test
ISO11783-7,implement-hitch-pto-command-reserved-command,HitchCommandMsg and PtoCommandMsg decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain hitch and PTO reserved-command test
ISO11783-7,implement-aux-valve-machine-speed-reserved-payload-bits,AuxValveCommandMsg and MachineSelectedSpeedMsg decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain aux valve and machine-speed reserved payload test
ISO11783-7,implement-machine-speed-command-canonical-shape,MachineSpeedCommandMsg decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain machine-speed command canonical-shape test
ISO11783-7,implement-aux-valve-pgn-index-boundaries,AuxValveCommandMsg and aux-valve flow PGN helpers,no extra C API,no extra Python API,internal-only,standard-suite,maintain aux-valve PGN index boundary test
ISO11783-7,implement-aux-valve-flow-limit-and-sentinel-validation,AuxValveFlowMsg decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain aux-valve flow limit and sentinel tests
ISO11783-7,implement-aux-valve-public-state-strict-decoders,aux-valve flow public state decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain aux-valve public strict decoder test
ISO11783-7,implement-drive-strategy-upper-edge-values,DriveStrategyCmd decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain drive-strategy upper-edge test
ISO11783-7,implement-guidance-system-command-curvature-boundary,GuidanceSystemCmd decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain guidance system command curvature boundary test
ISO11783-7,implement-guidance-command-public-status-strict-decoder,CurvatureCommandStatus strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain guidance command public strict decoder test
ISO11783-7,implement-top-level-guidance-envelope-validation,GuidanceData decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain top-level guidance envelope source and payload test
ISO11783-7,implement-hitch-pto-combined-roll-pitch-canonicalization,HitchPtoCombinedCmd and HitchRollPitchCmd decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain hitch PTO combined and roll-pitch canonicalization test
ISO11783-7,implement-lighting-fixed-frame-canonicalization,LightingState decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain lighting canonical fixed-frame test
ISO11783-7,implement-guidance-status-reserved-padding,GuidanceMachineInfo and GuidanceSystemStatus decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain guidance reserved status and padding test
ISO11783-7,implement-guidance-public-packed-status-strict-decoders,guidance packed status public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain guidance public strict decoder test
ISO11783-7,implement-hitch-status-reserved-exit-code,HitchStatus decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain hitch-status reserved exit-code test
ISO11783-7,implement-exit-reason-public-strict-decoders,ExitReasonCode strict public decoders,no extra C API,no extra Python API,rust-only,standard-suite,maintain exit-reason public strict decoder test
ISO11783-7,implement-speed-distance-scalar-sentinel-validation,speed distance status decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain speed-distance sentinel rejection test
ISO11783-7,implement-speed-distance-reserved-signal-range-validation,speed distance status signal range validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain reserved signal range rejection test
ISO11783-7,implement-speed-distance-message-envelope-validation,SpeedAndDistance full-message helper,no extra C API,no extra Python API,internal-only,standard-suite,maintain speed-distance wrong-PGN invalid-source PDU2-destination helper test
ISO11783-7,implement-tractor-control-mode-reserved-values,TractorControlModeMsg decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain tractor-control-mode reserved-value test
ISO11783-8,powertrain,src/j1939/engine.rs,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,add binding coverage for newly selected powertrain messages
ISO11783-8,powertrain-message-state-matrix,Powertrain message family coverage matrix,no extra C API,no extra Python API,internal-only,standard-suite,maintain powertrain message matrix coverage test
ISO11783-8,powertrain-eec1-tail-starter-and-required-sentinels,Eec1 decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain EEC1 tail starter and sentinel tests
ISO11783-8,powertrain-eec2-control-reserved-nibble,Eec2 decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain EEC2 reserved-nibble test
ISO11783-8,powertrain-eec2-optional-scalar-special-values,Eec2 optional scalar decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain EEC2 optional scalar special-value test
ISO11783-8,powertrain-eec3-asymmetry-special-values,Eec3 asymmetry decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain EEC3 asymmetry special-value test
ISO11783-8,powertrain-engine-full-message-helper-envelope-validation,Eec1 Eec2 Eec3 ET1 ET2 EFLP EngineHours FuelEconomy FuelConsumption Tsc1 Vep1 Ambient Dash VehiclePosition AT1 and AT2 full-message helpers,no extra C API,no extra Python API,internal-only,standard-suite,maintain engine helper PGN source and PDU2-destination envelope validation tests
ISO11783-8,powertrain-identification-exact-star-fields,ComponentIdentification and VehicleIdentification decode validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain identification exact-field test
ISO11783-8,powertrain-identification-full-message-helper-envelope-validation,ComponentIdentification and VehicleIdentification full-message helpers,no extra C API,no extra Python API,internal-only,standard-suite,maintain identification helper PGN source and PDU2-destination envelope validation test
