part,area,repo_module,status,test_status,external_trace_status,next_action
ISO11783-1,general-role-boundaries,book/src/reference/role-boundaries.md,complete,standard-suite,none,maintain general_role_boundary_map_names_repo_roles_and_ownership and general_role_boundary_page_links_claims_tests_and_gap_evidence
ISO11783-2,physical-layer-configuration,src/net/can_bus_config.rs;src/ffi.rs;src/python/mod.rs,implemented-needs-standard-tests,standard-suite,missing,maintain physical_layer_c_abi_mirrors_rust_config_validation_before_stack_construction and expand vcan physical adapter evidence
ISO11783-2,physical-layer-adapter-evidence-contract,tests/fixtures/hardware/can_adapter_matrix.txt;book/src/reference/hardware-evidence.md,complete,standard-suite,none,maintain physical_layer_adapter_matrix_is_explicit_and_non_claiming and physical_layer_docs_link_adapter_matrix_to_hardware_evidence_contract
ISO11783-2,physical-layer-sample-point-finiteness,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_rejects_non_finite_sample_points_before_compliance_claims
ISO11783-2,physical-layer-sample-point-window-boundary,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_accepts_only_the_supported_iso_bus_profile and physical_layer_rejects_sample_points_outside_supported_window_before_runtime_use
ISO11783-2,physical-layer-explicit-bit-timing-consistency,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_rejects_inconsistent_explicit_bit_timing_segments
ISO11783-3,data-link-identifiers-and-transport,src/net,implemented-needs-standard-tests,standard-suite,missing,maintain TP ETP transport-state matrix and collect external TP ETP traces
ISO11783-3,data-link-identifier-pdu-boundaries,src/net/identifier.rs,complete,standard-suite,none,maintain datalink_pdu1_identifier_preserves_destination_but_normalizes_pgn datalink_pdu2_identifier_uses_group_extension_not_destination_argument and datalink_identifier_try_encode_rejects_out_of_range_pgn_before_wire_use
ISO11783-3,data-link-priority-public-strict-decoder,src/net/types.rs,complete,standard-suite,none,maintain datalink_priority_public_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-acknowledgment-control-public-strict-decoder,src/j1939/acknowledgment.rs,complete,standard-suite,none,maintain datalink_acknowledgment_control_public_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-request-ack-canonical-payloads,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs,complete,standard-suite,none,maintain datalink_request_rejects_prefix_compatible_garbage datalink_acknowledgement_rejects_invalid_acknowledged_pgn and datalink_utility_control_pgns_reject_non_canonical_payloads
ISO11783-3,data-link-utility-control-pgns,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs;src/j1939/request2.rs,complete,standard-suite,none,maintain datalink_utility_control_pgns_reject_non_canonical_payloads and datalink_request2_responder_is_source_scoped_and_transfer_wrapped including null destination metadata
ISO11783-3,data-link-utility-full-message-envelope-validation,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs;src/j1939/request2.rs,complete,standard-suite,none,maintain datalink_utility_full_message_helpers_reject_invalid_envelopes including PGN source and destination binding
ISO11783-3,j1939-time-date-full-message-envelope-validation,src/j1939/time_date.rs,complete,standard-suite,none,maintain datalink_time_date_full_message_helper_rejects_invalid_envelopes including PDU2 destination metadata
ISO11783-3,j1939-proprietary-message-envelope-classifier,src/j1939/proprietary.rs,complete,standard-suite,none,maintain datalink_proprietary_message_helper_rejects_non_proprietary_pgns_and_bad_sources
ISO11783-3,data-link-group-function-carrier-and-responder-policy,src/isobus/group_function.rs,complete,standard-suite,none,maintain datalink_group_function_carrier_and_responder_policy_are_canonical and datalink_group_function_stack_responder_is_destination_scoped_and_loop_safe including invalid source and null destination no-reply checks
ISO11783-3,data-link-group-function-public-error-strict-decoder,src/isobus/group_function.rs,complete,standard-suite,none,maintain datalink_group_function_public_error_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-transport-abort-public-strict-decoder,src/net/session.rs;src/net/tp.rs;src/net/etp.rs,complete,standard-suite,none,maintain datalink_transport_abort_public_decoder_rejects_noncanonical_bytes
ISO11783-3,tp-rts-window-and-bam-canonical-fields,src/net/tp.rs,complete,standard-suite,none,maintain datalink_tp_rts_packet_window_and_bam_reserved_byte_are_canonical
ISO11783-3,tp-etp-invalid-endpoint-frame-rejection,src/net/tp.rs;src/net/etp.rs,complete,standard-suite,none,maintain datalink_tp_etp_reject_invalid_endpoint_frames_without_session_mutation
ISO11783-3,tp-etp-single-dt-endpoint-session,src/net/tp.rs;src/net/etp.rs;src/net/network_manager.rs,complete,standard-suite,none,maintain datalink_tp_rejects_concurrent_sessions_that_share_dt_endpoint_path datalink_etp_rejects_concurrent_sessions_that_share_dt_endpoint_path and isonet_queues_tp_transmits_that_share_dt_endpoint_path
ISO11783-3,tp-etp-timeout-window-aborts,src/net/tp.rs;src/net/etp.rs,complete,standard-suite,none,maintain datalink_tp_timeout_windows_abort_without_leaking_partial_sessions and datalink_etp_timeout_window_aborts_extended_session_without_state_leak
ISO11783-3,tp-auxiliary-timer-session-windows,src/net/tp.rs,complete,standard-suite,none,maintain datalink_tp_auxiliary_timer_sessions_validate_endpoints_and_all_timeout_windows for endpoint rejection keepalive T3 and T4 timeout boundaries
ISO11783-3,tp-dt-sequence-abort-boundaries,src/net/tp.rs,complete,standard-suite,none,maintain datalink_tp_dt_sequence_errors_abort_without_partial_delivery
ISO11783-3,etp-dpo-dt-sequence-window-boundaries,src/net/etp.rs,complete,standard-suite,none,maintain datalink_etp_dpo_and_dt_sequence_windows_abort_without_partial_delivery
ISO11783-4,network-interconnect,src/net/niu.rs,implemented-needs-standard-tests,standard-suite,missing,maintain NIU router topology matrix and collect external network-interconnect traces
ISO11783-4,niu-persistent-filter-runtime-clear,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_persistent_filters_survive_runtime_clear_only
ISO11783-4,niu-rate-limited-filter-window-and-policy-snapshot,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_rate_limited_filter_blocks_inside_window_without_policy_drift
ISO11783-4,niu-filter-mode-control-default-gating,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_filter_mode_control_gates_default_forwarding_until_allow_rule and network_layer_filter_mode_payload_rejects_reserved_modes
ISO11783-4,niu-filter-rule-name-and-reserved-bit-validation,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_filter_rules_preserve_names_and_reject_hidden_absent_names and network_layer_niu_filter_message_round_trips_and_rejects_reserved_bits
ISO11783-4,network-interconnect-public-policy-strict-decoder,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_public_policy_decoder_rejects_noncanonical_bytes for ForwardPolicy and NiuFilterMode
ISO11783-4,niu-name-scoped-filter-observation-gate,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_name_scoped_filters_require_observed_address_claims
ISO11783-4,niu-ingress-source-and-control-source-validation,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_niu_rejects_invalid_sources_without_forwarding_or_learning and network_layer_niu_control_messages_ignore_invalid_sources_and_null_destination_metadata_before_mutation
ISO11783-4,network-interconnect-topology-loop-guard,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_line_topology_forwards_once_and_blocks_bounce_back network_layer_fork_topology_keeps_loop_guards_per_branch and network_layer_ring_topology_loop_guard_expires_only_after_window
ISO11783-4,network-interconnect-translation-admission,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_router_translation_admission_is_unique_and_claimable
ISO11783-4,network-interconnect-bidirectional-translation-and-cannot-claim,src/net/niu.rs,complete,standard-suite,none,maintain network_layer_router_translates_bidirectional_destination_frames_and_cannot_claims
ISO11783-5,network-management,src/net/address_claimer.rs,implemented-needs-standard-tests,standard-suite,missing,maintain address-claim NAME-management and commanded-address state matrix and collect peer traces
ISO11783-5,network-management-address-claim-request-and-contest-state,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_request_address_claim_response_follows_claim_state and network_management_address_claim_contest_is_name_ordered_and_state_safe
ISO11783-5,network-management-reclaim-random-delay-bound,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_reclaim_random_delay_is_clamped_to_standard_window
ISO11783-5,network-management-pending-reclaim-address-refresh,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_pending_reclaim_rechecks_newly_occupied_address_before_transmit and network_management_pending_reclaim_fails_if_all_later_addresses_become_occupied
ISO11783-5,network-management-delayed-reclaim-request-quiet,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_delayed_reclaim_does_not_answer_with_yielded_address
ISO11783-5,network-management-duplicate-name-cannot-claim-retry-guard,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_cannot_claim_paths_use_null_source_and_do_not_retry and network_management_duplicate_name_cancels_pending_reclaim_without_retry
ISO11783-5,network-management-name-management-public-strict-decoders,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_name_management_public_decoders_reject_noncanonical_bytes
ISO11783-5,network-management-name-management-request-address-claim,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_request_address_claim_is_targeted_and_not_a_reply_loop and name_management_request_address_claim_triggers_claim_without_name_reply_loop
ISO11783-5,network-management-malformed-name-management-event-gate,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_malformed_name_management_payloads_do_not_fire_events
ISO11783-5,network-management-name-management-pending-adoption-state-safety,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_pending_name_queries_and_adoption_are_state_safe and network_management_set_pending_adopt_cycle_preserves_identity_and_reports_failures
ISO11783-5,network-management-ingress-source-and-envelope-validation,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_ignores_invalid_sources_and_null_destination_metadata_before_name_or_commanded_address_mutation and network_management_rejects_wrong_pgn_envelopes_before_mutation_or_events
ISO11783-5,network-management-commanded-address-target-validation,src/net/name_manager.rs,complete,standard-suite,none,maintain network_management_commanded_address_accepts_only_exact_target_and_claimable_address
ISO11783-5,network-management-invalid-local-preferred-address,src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_rejects_unclaimable_local_preferred_addresses_before_claiming
ISO11783-5,network-management-cannot-claim-partner-state,src/net/network_manager.rs;src/net/partner_cf.rs,complete,standard-suite,none,maintain network_management_address_claim_cannot_claim_does_not_create_online_partner
ISO11783-5,network-management-restart-claiming-stability,src/net/network_manager.rs;src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_restart_claiming_after_claimed_reuses_same_name_and_address
ISO11783-5,network-management-later-lower-name-reclaim,src/net/network_manager.rs;src/net/address_claimer.rs,complete,standard-suite,none,maintain network_management_claimed_cf_loses_to_later_lower_name_and_reclaims_next_address
ISO11783-6,virtual-terminal,src/isobus/vt,implemented-needs-standard-tests,standard-suite,missing,maintain VT lifecycle object AUX and language matrix and collect independent VT upload success/failure peer captures
ISO11783-6,vt-command-code-direction-boundaries,src/isobus/vt/commands.rs,complete,standard-suite,none,maintain vt_command_code_groups_keep_client_server_direction_boundaries
ISO11783-6,vt-ingress-envelope-and-source-validation,src/isobus/vt/client.rs;src/isobus/vt/server.rs;src/isobus/vt/state_tracker.rs;src/isobus/vt/auxiliary_caps.rs,complete,standard-suite,none,maintain vt_handlers_reject_wrong_pgn_envelopes_before_state_or_events vt_client_stack_rejects_wrong_destination_and_invalid_sources_before_tracker_update vt_server_stack_rejects_wrong_destination_and_invalid_sources_before_client_state
ISO11783-6,vt-state-tracker-envelope-and-source-validation,src/isobus/vt/state_tracker.rs,complete,standard-suite,none,maintain vt_state_tracker_rejects_wrong_pgn_and_invalid_sources_before_cache_update
ISO11783-6,vt-client-memory-session-and-source-binding,src/isobus/vt/client.rs,complete,standard-suite,none,maintain vt_client_rejects_unsolicited_memory_response_before_state_change and vt_client_binds_to_negotiated_vt_source_until_disconnect
ISO11783-6,vt-client-disconnect-rebind-source,src/isobus/vt/client.rs,complete,standard-suite,none,maintain vt_client_binds_to_negotiated_vt_source_until_disconnect including disconnect source clear and rebind checks
ISO11783-6,vt-server-object-pool-upload-state-machine,src/isobus/vt/server.rs,complete,standard-suite,none,maintain vt_server_requires_memory_negotiation_before_object_pool_upload_state vt_server_object_pool_upload_window_is_per_client_and_not_unsolicited and vt_server_reupload_failure_does_not_accept_stale_active_pool_as_new_upload
ISO11783-6,vt-server-delete-object-pool-canonical-reset,src/isobus/vt/server.rs,complete,standard-suite,none,maintain vt_server_delete_object_pool_requires_canonical_fixed_frame_before_reset
ISO11783-6,vt-server-runtime-command-reference-gates,src/isobus/vt/server.rs,complete,standard-suite,none,maintain vt_server_runtime_commands_require_activated_object_pool_before_state_or_events vt_server_change_active_mask_requires_uploaded_data_mask_reference vt_server_reference_mutations_require_uploaded_object_types vt_server_child_geometry_and_input_selection_require_uploaded_objects and vt_server_visual_graphics_and_macro_commands_require_uploaded_objects
ISO11783-6,vt-value-change-payload-canonicality,src/isobus/vt/client.rs;src/isobus/vt/server.rs;src/isobus/vt/state_tracker.rs;src/isobus/vt/wire.rs,complete,standard-suite,none,maintain vt_value_change_payloads_require_canonical_reserved_padding_and_utf8
ISO11783-6,vt-unsupported-function-canonical-and-bound,src/isobus/vt/client.rs;src/isobus/vt/server.rs,complete,standard-suite,none,maintain vt_unsupported_function_reports_are_canonical_and_source_bound
ISO11783-6,vt-aux-capability-and-assignment-runtime,src/isobus/vt/auxiliary_caps.rs;src/isobus/vt/server.rs,complete,standard-suite,none,maintain vt_aux_capability_discovery_requires_requested_session_and_canonical_channels and vt_aux_assignment_runtime_requires_uploaded_matching_objects_and_valid_status
ISO11783-6,vt-auxiliary-status-stack-ingress-validation,src/isobus/auxiliary.rs,complete,standard-suite,none,maintain auxiliary_stack_rejects_invalid_sources_and_malformed_payloads_before_cache_update
ISO11783-6,vt-auxiliary-public-function-strict-decoders,src/isobus/auxiliary.rs,complete,standard-suite,none,maintain vt_auxiliary_public_function_decoders_reject_noncanonical_bytes
ISO11783-6,vt-auxiliary-public-function-envelope-validation,src/isobus/auxiliary.rs,complete,standard-suite,none,maintain vt_auxiliary_public_function_decoders_reject_wrong_pgn_and_invalid_sources
ISO11783-6,vt-alarm-priority-public-strict-decoder,src/isobus/vt/state_tracker.rs,complete,standard-suite,none,maintain vt_alarm_priority_public_decoder_rejects_noncanonical_bytes
ISO11783-6,vt-activation-code-public-strict-decoder,src/isobus/vt/commands.rs,complete,standard-suite,none,maintain vt_activation_code_public_decoder_rejects_noncanonical_bytes
ISO11783-6,vt-client-version-language-validation,src/isobus/vt/client.rs,complete,standard-suite,none,maintain vt_client_version_labels_are_validated_before_state_mutation vt_client_language_command_rejects_invalid_codes_destination_metadata_before_reload and language_command_stack_rejects_invalid_sources_invalid_destinations_and_malformed_payloads_before_cache_update
ISO11783-6,vt-language-command-public-unit-strict-decoders,src/j1939/language.rs,complete,standard-suite,none,maintain vt_language_command_public_unit_decoders_reject_noncanonical_bytes
ISO11783-6,vt-language-command-public-envelope-validation,src/j1939/language.rs,complete,standard-suite,none,maintain vt_language_command_public_decoder_rejects_wrong_pgn_and_invalid_sources
ISO11783-6,vt-stored-version-label-header-canonicality,src/isobus/vt/server_working_set.rs,complete,standard-suite,none,maintain vt_server_stored_version_labels_are_canonical_before_disk_load
ISO11783-6,vt-local-language-preference-validation,src/isobus/vt/client.rs;src/ffi.rs;src/python/mod.rs,complete,standard-suite,none,maintain vt_local_language_preferences_require_canonical_codes_before_state_mutation
ISO11783-6,vt-version-list-label-validation,src/isobus/vt/client.rs,complete,standard-suite,none,maintain vt_client_version_list_labels_require_canonical_bytes_before_events
ISO11783-6,vt-version-operation-response-canonicality,src/isobus/vt/client.rs,complete,standard-suite,none,maintain vt_client_version_operation_responses_require_canonical_fixed_frames_before_events_or_state
ISO11783-6,vt-object-pool-exact-working-set-count,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_requires_one_working_set_with_a_mask_child and vt_object_pool_rejects_multiple_working_sets_before_upload_acceptance
ISO11783-6,vt-object-public-type-strict-decoders,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_public_type_decoders_reject_noncanonical_bytes
ISO11783-6,vt-object-pool-working-set-child-types,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_working_set_children_are_only_masks
ISO11783-6,vt-object-pool-soft-key-key-group-child-types,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_soft_key_and_key_group_children_are_keys
ISO11783-6,vt-object-pool-serialization-and-body-validation,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_serializes_deserializes_and_validates_minimal_graph vt_object_pool_rejects_unknown_object_type_and_duplicate_ids and vt_object_pool_validation_rejects_malformed_typed_bodies
ISO11783-6,vt-object-pool-typed-reference-validation,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_validation_checks_typed_body_references and vt_object_pool_validation_checks_auxiliary_object_references
ISO11783-6,vt-object-pool-null-object-id-rejection,src/isobus/vt/objects.rs,complete,standard-suite,none,maintain vt_object_pool_rejects_null_object_id_as_real_object_identifier
ISO11783-7,implement-messages,src/isobus/implement,implemented-needs-standard-tests,standard-suite,missing,maintain implement message state matrix and collect external implement/tractor trace groups
ISO11783-7,implement-heartbeat-tracker-envelope,src/j1939/heartbeat.rs,complete,standard-suite,none,maintain implement_heartbeat_tracker_rejects_wrong_pgn_sources_width_and_reserved_sequences
ISO11783-7,implement-heartbeat-request-envelope,src/j1939/heartbeat.rs,complete,standard-suite,none,maintain implement_heartbeat_request_full_message_helper_rejects_invalid_envelopes including destination-specific endpoint checks
ISO11783-7,implement-heartbeat-receiver-reserved-sequence-liveness,src/j1939/heartbeat.rs,complete,standard-suite,none,maintain implement_heartbeat_receiver_reserved_sequences_do_not_refresh_comm_timer
ISO11783-7,implement-shortcut-button-envelope-validation,src/j1939/shortcut_button.rs,complete,standard-suite,none,maintain implement_shortcut_button_rejects_wrong_pgn_invalid_source_and_noncanonical_payloads
ISO11783-7,implement-shortcut-button-public-strict-decoder,src/j1939/shortcut_button.rs,complete,standard-suite,none,maintain implement_shortcut_button_public_state_decoder_rejects_noncanonical_bytes
ISO11783-7,implement-lighting-and-stack-ingress-envelope-validation,src/isobus/implement/lighting.rs,complete,standard-suite,none,maintain implement_lighting_helpers_and_stack_reject_invalid_envelopes including PDU2 destination metadata
ISO11783-7,implement-malformed-ingress-no-mutation,src/session/plugins/implement.rs,complete,session-suite,none,maintain implement_status_broadcast_reaches_peer session integration and codec malformed-payload rejection coverage
ISO11783-7,implement-public-enum-strict-try-decoders,src/isobus/implement,complete,standard-suite,none,maintain implement_public_try_decoders_reject_noncanonical_packed_bytes
ISO11783-7,implement-public-packed-status-strict-decoders,src/isobus/implement/lighting.rs;src/isobus/implement/machine_speed_cmd.rs;src/isobus/implement/speed_distance.rs,complete,standard-suite,none,maintain implement_public_packed_status_decoders_reject_noncanonical_bytes
ISO11783-7,implement-hitch-pto-command-reserved-command,src/isobus/implement/tractor_commands.rs,complete,standard-suite,none,maintain implement_hitch_and_pto_command_codecs_reject_reserved_command_bytes
ISO11783-7,implement-aux-valve-machine-speed-reserved-payload-bits,src/isobus/implement/tractor_commands.rs;src/isobus/implement/machine_speed_cmd.rs,complete,standard-suite,none,maintain implement_aux_valve_and_machine_speed_reject_reserved_payload_bits
ISO11783-7,implement-machine-speed-command-canonical-shape,src/isobus/implement/machine_speed_cmd.rs,complete,standard-suite,none,maintain implement_machine_speed_command_rejects_noncanonical_shape_without_losing_sentinels
ISO11783-7,implement-aux-valve-pgn-index-boundaries,src/isobus/implement/tractor_commands.rs;src/isobus/implement/aux_valve_status.rs,complete,standard-suite,none,maintain implement_aux_valve_pgn_index_boundaries_are_explicit_and_symmetric
ISO11783-7,implement-aux-valve-flow-limit-and-sentinel-validation,src/isobus/implement/aux_valve_status.rs,complete,standard-suite,none,maintain implement_aux_valve_flow_rejects_reserved_limit_status_values and implement_aux_valve_flow_rejects_reserved_flow_sentinel_band
ISO11783-7,implement-aux-valve-public-state-strict-decoders,src/isobus/implement/aux_valve_status.rs,complete,standard-suite,none,maintain implement_aux_valve_public_state_decoders_reject_noncanonical_bytes
ISO11783-7,implement-drive-strategy-upper-edge-values,src/isobus/implement/drive_strategy.rs,complete,standard-suite,none,maintain implement_drive_strategy_preserves_upper_edge_values_and_rejects_reserved_modes
ISO11783-7,implement-guidance-system-command-curvature-boundary,src/isobus/implement/drive_strategy.rs,complete,standard-suite,none,maintain implement_guidance_system_command_rejects_reserved_bits_and_curvature_sentinel_band
ISO11783-7,implement-guidance-command-public-status-strict-decoder,src/isobus/implement/drive_strategy.rs,complete,standard-suite,none,maintain implement_guidance_command_public_status_decoder_rejects_noncanonical_bytes
ISO11783-7,implement-top-level-guidance-envelope-validation,src/isobus/guidance.rs,complete,standard-suite,none,maintain implement_top_level_guidance_rejects_wrong_pgn_width_sources_and_reserved_tail
ISO11783-7,implement-hitch-pto-combined-roll-pitch-canonicalization,src/isobus/implement/drive_strategy.rs,complete,standard-suite,none,maintain implement_hitch_pto_combined_and_roll_pitch_commands_reject_reserved_controls_and_padding
ISO11783-7,implement-lighting-fixed-frame-canonicalization,src/isobus/implement/lighting.rs,complete,standard-suite,none,maintain implement_lighting_state_rejects_non_canonical_fixed_frames
ISO11783-7,implement-guidance-status-reserved-padding,src/isobus/implement/guidance.rs,complete,standard-suite,none,maintain implement_guidance_messages_reject_reserved_status_values_and_padding
ISO11783-7,implement-guidance-public-packed-status-strict-decoders,src/isobus/implement/guidance.rs,complete,standard-suite,none,maintain implement_guidance_public_status_decoders_reject_noncanonical_bytes
ISO11783-7,implement-hitch-status-reserved-exit-code,src/isobus/implement/speed_distance.rs,complete,standard-suite,none,maintain implement_hitch_status_rejects_reserved_exit_codes_without_payload_slop
ISO11783-7,implement-exit-reason-public-strict-decoders,src/isobus/implement/speed_distance.rs,complete,standard-suite,none,maintain implement_exit_reason_public_decoders_reject_noncanonical_bytes
ISO11783-7,implement-speed-distance-scalar-sentinel-validation,src/isobus/implement/speed_distance.rs,complete,standard-suite,none,maintain implement_speed_distance_status_rejects_unavailable_speed_and_reserved_position_values
ISO11783-7,implement-speed-distance-reserved-signal-range-validation,src/isobus/implement/speed_distance.rs,complete,standard-suite,none,maintain implement_speed_distance_status_rejects_reserved_signal_ranges_before_scaling
ISO11783-7,implement-speed-distance-message-envelope-validation,src/j1939/speed_distance.rs,complete,standard-suite,none,maintain implement_speed_distance_message_helper_rejects_invalid_envelopes including PDU2 destination metadata
ISO11783-7,implement-tractor-control-mode-reserved-values,src/isobus/implement/tractor_commands.rs,complete,standard-suite,none,maintain implement_tractor_control_mode_rejects_reserved_modes_and_non_ff_tail
ISO11783-8,powertrain,src/j1939/engine.rs,implemented-needs-standard-tests,standard-suite,missing,maintain powertrain message state matrix and external trace comparisons
ISO11783-8,powertrain-eec1-tail-starter-and-required-sentinels,src/j1939/engine.rs,complete,standard-suite,none,maintain powertrain_eec1_rejects_non_ff_reserved_tail_and_preserves_scaling and powertrain_eec1_rejects_not_available_sentinels_for_required_fields
ISO11783-8,powertrain-eec2-control-reserved-nibble,src/j1939/engine.rs,complete,standard-suite,none,maintain powertrain_eec2_rejects_reserved_control_nibble_without_losing_status_edges
ISO11783-8,powertrain-eec2-optional-scalar-special-values,src/j1939/engine.rs,complete,standard-suite,none,maintain powertrain_eec2_optional_scalars_reject_reserved_special_values
