standard_part,module,type,encode,decode,state_machine,tests,golden_vectors,external_oracle,status,notes
ISO11783-2,src/net/can_bus_config.rs,CAN physical assumptions,yes,yes,no,unit+fixtures+standard-suite,yes,none,implemented-needs-external-oracle,"Bitrate/sample-point policy is fixture-backed for 250 kbit/s, nominal 80% sample point, 77%/83% acceptance bounds, non-finite sample-point rejection, local-only silent/loopback rejection, and stable rejection messages; needs hardware/vcan proof."
ISO11783-2,book/HARDWARE.md,SocketCAN/vcan trace tooling,yes,yes,no,example+replay+manifest+standard-suite,yes,none,implemented-needs-external-oracle,"vcan setup, SocketCAN address-claim/DM1 emitter, stack-based SocketCAN monitor, candump capture guidance, compact/bracketed/malformed standard-vs-extended candump parsing with DLC mismatch, overlong payload, bad hex, CAN-FD-looking token, and flag-looking ID rejection, make trace-replay-demo for compact seed, bracketed seed, malformed-line, plus standard-ID rejection candump fixtures, executable trace provenance manifest, executable hardware-evidence contract, concrete per-flow capture playbook, and adapter evidence matrix exist; standard-suite checks keep vcan from being treated as physical timing proof and require physical adapter rows to name 250000 bit/s setup, termination, reports, and known capture IDs; future completed rows must link to a named reduced-hardware trace and schema-complete capture report with commit/interface/bitrate fields; still needs real vcan/physical-bus captures wired into tests with reports."
ISO11783-3_J1939-21,src/net/identifier.rs,CAN extended identifier and PGN normalization,yes,yes,no,unit+property+fixture,yes,AgIsoStack,complete-by-tests,"identifier_round_trip_pdu1, pdu1_pdu2_boundary_table_normalizes_identifier_fields, and datalink_identifier_try_encode_rejects_out_of_range_pgn_before_wire_use cover PDU1 destination preservation, PDU1 PGN normalization, PDU2 group-extension preservation, PF 0xEF/0xF0 boundary behavior across all DP/EDP combinations, raw 29-bit bytes, arbitrary raw identifier masking/accessor properties, out-of-range PGN encode-input properties, PGN helper normalization/classification properties, high-level IsoNet send and Fast Packet registration invalid-PGN rejection before identifier normalization, encode/decode property round trips, and reduced candump standard-ID rejection fixture are covered; add live hardware/vcan rejection captures."
ISO11783-3_J1939-21,src/net/frame.rs,CAN frame wrapper,yes,yes,no,unit+fixtures+AgIsoStack,yes,AgIsoStack,complete-by-tests,"can_frame_wrapper_matches_agisostack_can_message_identity_subset, from_message_pads_with_ff, and standard_frame_is_rejected cover identifier/data-length/padding behavior plus reviewable raw-ID/data/length fixtures for PDU1 destination-specific and PDU2 broadcast frame construction; selected AgIsoStack CANMessage identity fields pin priority PGN source destination payload length timestamp and extended raw identifier behavior; fallible frame constructors reject over-8-byte lengths/payloads and invalid high-bit PGNs, while driver-frame conversion rejects standard/RTR/error frames and hostile DLC values instead of clamping them."
ISO11783-3_J1939-21,"src/net/message.rs;src/net/data_span.rs",decoded message accessors and defensive byte view,partial,yes,no,unit+property+AgIsoStack,yes,AgIsoStack,complete-by-tests,"Partial because Message/DataSpan is a decoded byte-view/accessor surface, not an owning serializer for a standalone wire PGN; message_data_accessors_match_agisostack_data_correctness_subset, read_helpers_match_data_span, and typed_reads_huge_offsets_return_all_ones_without_overflow cover byte reads, little-endian typed reads, checked-offset overflow resistance, out-of-bounds sentinel values, bit extraction, and subspan clamping; selected CANMessage DataCorrectness values from AgIsoStack now pin timestamp, little-endian u16/u32/u64, custom bitfield, and out-of-range custom-bit behavior; add external analyzer traces that exercise these accessor paths through real decoded CAN messages."
ISO11783-3_J1939-21,src/net/tp.rs,TP BAM/CMDT,yes,yes,yes,unit+fixtures+property+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"BAM/RTS/CTS/DT/EoMA fixtures plus selected AgIsoStack BroadcastMessageSending and DestinationSpecificMessageSending payload bytes, configurable RTS packet-window advertisement, receive allocation/session-cap bounds, DT endpoint-path exclusivity for concurrent PGNs, IsoNet same-path transmit queueing, protocol abort-code mapping, malformed RTS, deterministic malformed CM/DT corpus, bounded arbitrary CM/DT payload property tests, out-of-order DT, duplicate DT, wrong-peer DT isolation, two-peer interleaving, CTS zero-hold/resume, duplicate CTS retransmission of the same golden DT window with max-retransmit cap and MaxRetransmitsExceeded abort coverage, CTS_WHILE_SENDING connection-mode-error abort coverage, auxiliary timer CTS keepalive and timeout abort bytes, exact 50 ms BAM DT cadence and cleanup, BAM missing-packet drop, standard-suite sender/receiver timeout boundary checks with timeout abort and no partial session leak, receive-cap no-resource abort, 9/10/1784/1785/1786 byte threshold tests, invalid target-PGN rejection on TX and inbound TP.CM, NULL/broadcast source rejection, NULL destination rejection, destination-specific TP.CM broadcast rejection, and receiver abort direction added; add broader external transport traces and hardware retry captures."
ISO11783-3_J1939-21,src/net/etp.rs,ETP,yes,yes,yes,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"RTS/CTS/DPO/first-DT seed fixtures plus full 2000-byte EoMA stream, explicit 4096-byte receive-profile stream with first/last golden DPO+DT edges and EoMA cleanup, CTS hold/resume with near-timeout sender liveness, receiver Abort cancellation of sender, deterministic malformed CM/DT corpus, bounded arbitrary CM/DT payload property tests under caps, two-peer multi-window interleaving, receiver timeout/resource abort bytes, standard-suite timeout boundary check with timeout abort and no partial session leak, wrong-peer DPO isolation, CTS window variation, receive allocation/session-cap bounds, DT endpoint-path exclusivity for concurrent PGNs, allocation-free protocol-maximum receive-admission profile, bad DPO offset, TP-sized RTS, 1786-byte minimum, protocol-max+1 overflow rejection, invalid target-PGN rejection on TX and inbound ETP.CM, NULL/broadcast endpoint rejection, and receiver abort direction added; add external ETP traces."
ISO11783-3_J1939-21,src/j1939/pgn_request.rs,PGN request codec,yes,yes,no,unit+fixtures+property+standard-suite,yes,none,complete-by-tests,"fixture_j1939_request_and_ack_codecs_are_stable, datalink_request_rejects_prefix_compatible_garbage, and request_round_trips cover the canonical 3-byte request-address-claim payload and common 8-byte 0xFF-padded compatibility payload; standard-suite utility control PGN tests pin exact canonical request bytes and rejection of short overlong non-FF-tail and invalid high-PGN forms; decoder rejects short, malformed trailing, bad-padding, overlong prefix-compatible payloads, and invalid high PGN bits; encoder rejects invalid high PGN bits before the 3-byte wire field can truncate them; arbitrary-byte utility property coverage checks accepted PGNs canonicalize through the 3-byte encoder."
ISO11783-3_J1939-21,src/j1939/acknowledgment.rs,Acknowledgment codec,yes,yes,no,unit+fixtures+property+standard-suite,yes,none,complete-by-tests,"fixture_j1939_request_and_ack_codecs_are_stable, datalink_acknowledgement_rejects_invalid_acknowledged_pgn, and ack_round_trips cover fixture-backed positive ACK payload plus standard-suite coverage of all public control-byte values; short, overlong, reserved-control, reserved-padding, invalid high acknowledged-PGN bit rejection, and fallible encoder validation for invalid acknowledged PGNs are covered; arbitrary-byte utility property coverage checks accepted ACKs re-encode and decode canonically."
J1939,src/j1939/time_date.rs,Time/Date PGN 65254,yes,yes,no,unit+fixtures+property,yes,AgIsoStack,complete-by-tests,"time_date_decodes_agisostack_reference_payload, fixture_j1939_time_date_decodes_and_reencodes, and round_trip_full_fields cover the AgIsoStack Time/Date payload, default all-not-available bytes, first-day/upper-non-NA/clamped-high boundary vectors, exact re-encode, and strict short/overlong rejection; encoder clamps out-of-range Some values away from 0xFF sentinel collisions/wrap and UTC-hour upper-bound decode avoids debug overflow; arbitrary-byte utility property coverage checks canonical re-decodes."
ISO11783-3_J1939-21,"src/isobus/group_function.rs",Group Function codec/responder,yes,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"Command, request, and acknowledge payloads are fixture-backed; decoder rejects short/overlong fixed-size payloads, reserved/unknown type bytes, hidden non-FF bytes after parameter padding starts, and invalid target-PGN high bits; encoder rejects invalid target PGNs and over-four-byte parameter lists; arbitrary-byte property coverage exercises AUX and Group Function decode paths; a local responder policy returns no-error, unsupported-function, and unsupported-PGN acknowledgments, ignores reply-like/malformed/wrong-destination traffic, and avoids acknowledge loops; add external/reference responder captures."
ISO11783-3_J1939-21,"src/j1939/request2.rs",Request2/Transfer codec and responder,yes,yes,yes,unit+fixtures+property+workflow+standard-suite,yes,none,implemented-needs-external-oracle,"Request2 direct and extended-transfer 8-byte payloads plus Transfer wrapping are fixture-backed and standard-suite checked; a local Request2 responder registry returns direct replies or Transfer-wrapped replies and ignores wrong PGNs, malformed requests, unknown requested PGNs, NULL/broadcast source addresses, and invalid registered response PGNs; Request2 rejects short and overlong fixed-size payloads, reserved transfer-control bits, non-contiguous extended-ID padding, non-0xFF tail bytes, and invalid high requested-PGN bits on decode and encode; Request2 encode rejects overlong extended IDs; Transfer rejects invalid high original-PGN bits on decode and encode; arbitrary-byte utility property coverage checks accepted Request2 and Transfer messages re-encode and decode canonically; add external responder-workflow traces."
J1939,"src/j1939/language.rs",Language command codec/workflow,yes,yes,yes,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"Default English/metric and mixed German/unit payloads are fixture-backed using the AgIsoStack-compatible byte layout for decimal/time, date, unit packs, generic units, and country code; selected AgIsoStack LanguageCommandInterface transmit/decode vectors are covered; decoder rejects short and overlong fixed-size payloads, reserved unit values/bits, and malformed reserved low-nibble bytes; arbitrary-byte utility property coverage checks accepted language payloads re-encode and decode canonically; add language/reload traces."
J1939,"src/j1939/shortcut_button.rs",Shortcut button status codec,yes,yes,yes,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"Shortcut Button/ISB PGN 0xFD02 layout is pinned to selected AgIsoStack RX/TX examples: bytes 0..5 are 0xFF, byte 6 is the transition counter, and byte 7 carries stop/permit state with canonical transmit reserved bits set; decoder accepts AgIsoStack RX examples with zeroed reserved high bits, rejects short and overlong fixed-size payloads, partial reserved high bits, and non-0xFF fixed bytes; arbitrary-byte utility property coverage checks accepted states re-encode and decode canonically; add real shortcut-button interaction traces."
ISO11783-3_J1939-21,src/net/network_manager.rs,single-frame PGN dispatch/routing,yes,yes,yes,unit+fixtures+bindings,yes,none,implemented-needs-external-oracle,"Custom-PGN callback fan-out/isolation, callback registration invalid high-bit PGN rejection, C/Python subscription propagation, and Proprietary A/A2/B single-frame exact raw identifiers, destination/group-extension semantics, and payload classification are tested; add external proprietary traces and route edge cases."
ISO11783-4,src/net/niu.rs,Network interconnect unit,yes,yes,yes,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"Routing/filter behavior, bounded recent-forward loop guard for immediate echoed frames with configurable history depth, bounded storm-history tests, standard-suite line/fork/ring topology echo blocking, source/destination NAME-scoped filter predicates learned from Address Claimed frames, NIU control-message payloads, raw PGN 0xED00 addressing, malformed NIU control-message rejection for short/overlong, unknown function, reserved PGN high-bit, bad-padding, reserved filter-mode, bad port-stat tail payloads, and control payloads carried on non-NIU PGNs, with fallible public decode, NIU control encode rejection for invalid high-bit filter PGNs and saturated 16-bit port-stat counters, strict persistent filter-rule storage decode rejecting short/overlong records, reserved PGN/flag/policy bits, and hidden absent-NAME bytes, persistent FilterRule encode rejection for invalid high-bit PGNs and over-16-bit rates, persistent filter retention on local runtime clear plus explicit network-control delete-all, property-style fuzz smoke for arbitrary NIU control/filter-rule bytes, rate-limited monitor policy, config-aware stable NIU/Router policy snapshots including loop-guard capacity, fixture-backed TP/ETP session-frame raw-ID remapping/blocking, pump-style routed TP/ETP reassembly through the translation boundary, two-segment IsoNet virtual-CAN routed TP/ETP with translated Address Claimed traffic, address-claim NAME/address validation fixtures, translation-table admission guards for duplicate or reserved side-local addresses, bidirectional destination-specific translation, translated-output echo blocking, and Cannot Claim visibility through the Router are covered; add hardware-backed router traces, exported multi-NIU/hardware topology policy dumps, and external bridge oracles."
ISO11783-5_J1939-81,src/net/name.rs,NAME field packing,yes,yes,no,unit+integration+fixtures+property,yes,AgIsoStack,complete-by-tests,"name_field_layout_matches_agisostack_magic_constant, fixture_agisostack_name_magic_raw_matches_builder_layout, and each_field_round_trips cover the AgIsoStack magic raw NAME fixture; decode now requires the exact 8-byte NAME width, rejects prefix-compatible overlong payloads, and has arbitrary byte-slice exact-width property coverage plus masked field-setter property coverage."
ISO11783-5,"src/net/name_manager.rs",NAME Management,yes,yes,yes,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"Canonical 17-byte RequestCurrentResponse and NegativeAcknowledge payloads are fixture-backed; SetPending identity guard, pending/current request replies, AdoptPending ACK/NACK, event emission, targeted RequestAddressClaim Address Claimed response without PGN 0x9300 reply loops, malformed payload event-gating, and response-mode loop prevention are unit-tested so Acknowledge, NegativeAcknowledge, RequestCurrentResponse, and RequestPendingResponse do not trigger replies or pending-NAME mutation; AdoptPending replies before applying the pending NAME and restarting address claiming; decoder rejects short, overlong, unknown-mode, bad-padding, invalid-NACK-reason, and bad-NACK-padding payloads; property-style fuzz smoke feeds arbitrary NAME Management payloads through the codec; add real peer traces."
ISO11783-5_J1939-81,"src/net/address_claimer.rs;src/net/name_manager.rs;src/net/partner_cf.rs",address claim,yes,yes,yes,unit+integration+fixtures+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"Same-address arbitration, cannot-claim, claimed-node loss/reclaim, global/specific request-for-address-claim response, standard-suite claim-state responses for pre-claim wait claimed and failed states, standard-suite NAME-ordered contest tests with unrelated-claim no-mutation behavior, reclaim random-delay clamping before delayed self-configurable reclaims, delayed reclaim re-evaluation when the queued address becomes occupied during RTxD, delayed Cannot Claim when no reclaim address remains available, malformed request-for-address-claim PGN Request rejection before IsoNet response routing, address-violation reporting, restart-after-claimed behavior, pre-start silence, invalid local preferred-address Cannot Claim, equal-NAME echo handling, duplicate local-NAME rejection, distinguishable duplicate-NAME Cannot Claim behavior, pre-claim send gating, exact request/claim/cannot-claim frame fixtures, exact 9-byte Commanded Address acceptance/rejection, TP.BAM Commanded Address integration that retargets a claimed internal NAME and rebroadcasts Address Claimed from the new source matching AgIsoStack CoreTest::CommandedAddress, unanswered request-for-address-claim invalidation for online partner CFs matching AgIsoStack InvalidatingControlFunctions, observed occupied-address tracking for self-configurable reclaims, Cannot Claim ingress clears matching partner state without learning NULL as online and broadcast-source claims do not resurrect partners, selected AgIsoStack CannotClaim saturated-address behavior emitting source 0xFE, and selected AgIsoStack PartneredClaim FunctionCode-filtered partner discovery for CabClimateControl and SeatControl have tests; add hardware/reference trace fixtures."
ISO11783-6,"src/isobus/auxiliary.rs",AUX-O/AUX-N function codecs,yes,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"AUX-O and AUX-N function payloads are fixture-backed; decoders reject short, overlong, reserved function type/state, and non-FF tail payloads; arbitrary-byte property/fuzz smoke coverage exercises AUX decode paths; add VT auxiliary-assignment traces."
ISO11783-6,src/isobus/vt/client.rs,Virtual Terminal client,yes,yes,yes,unit+fixtures+smoke+AgIsoStack+session-suite,yes,AgIsoStack,implemented-needs-external-oracle,"Connect flow, fixture-backed status/GetMemory/upload/delayed-EndOfObjectPool pump handshake with Rust VT server, session two-node integration (`tests/standard/session_harness.rs`) where a VtClient connects to a VtServer and advances past Disconnected, command-code/layout matrix, selected AgIsoStack VT MessageConstruction ChangeActiveMask HideShow EnableDisable and GraphicsContext DrawText command payloads plus priority-5 PDU1 identifier, EndOfObjectPool error bitmask handling, UnsupportedVTFunction cache handling, version/audio/value command bytes, outbound string declared-length overflow rejection, GraphicsContext DrawText empty/over-u8 length rejection, classic/extended version-list count/length/padding rejection, strict extended Store/Load response length rejection, exact fixed-size inbound response/language handling, canonical activation-layout parsing plus bad activation code/tail rejection, inbound numeric-value reserved-byte rejection, bad string-tail rejection, truncated string-change rejection, invalid UTF-8 string-value rejection, unknown object-type rejection, malformed known child-list tail rejection, serialized object-pool body/child-count/body-plus-child-tail overflow rejection before upload, client-side connect/swap/update rejection of unserializable pools before zero-size GetMemory emission, checked signed/wide object-ID construction, malformed upload rejection before server-side client-state creation, type-aware object-pool fixtures, and VT v6 TouchGesture/GraphicsContext/ScaledBitmap helper exact-byte plus reserved/range rejection tested; add independent tool pools, external TP-backed upload traces, language/reload traces, and broader external VT traces."
ISO11783-6,src/isobus/vt/server.rs,Virtual Terminal server,yes,yes,yes,unit+fixtures+smoke+standard-suite,yes,AgIsoStack++ public VT command enum,implemented-needs-external-oracle,"Server status advertises VT version, GetMemory response uses client-compatible success-code layout, fixture-backed Rust client upload flow activates the working set, malformed empty/truncated/unknown-type object-pool uploads are rejected before client-state creation, memory negotiation gates object-pool transfer, upload windows are per client, stale active pools are not reused after failed reupload, EndOfObjectPool validates the uploaded pool graph before activation and emits error bytes on invalid pools, notification builders reject string declared-length overflow, Get Versions response construction caps overfilled stored-version caches to the one-byte count field instead of wrapping, UnsupportedVTFunction responses/loop avoidance, exact fixed-size ECU command rejection, Get Window Mask Data user-layout background colours, Get Supported WideChars minimum-set range responses, standard Get Supported Objects sorted-object-list response with AUX type-2 capability subquery preservation, Get Attribute Value responses for current body/retained state plus invalid-object/invalid-attribute error bits and Working Set Special Controls AID 1 byte-count reporting, standard Output Line/Rectangle/Ellipse shape AID ordering, Input Number/List enabled-bit overlays that preserve real-time-editing option bits, Container-only HideShow with Hidden AID 3 synchronization across HideShow and Change Attribute, and malformed no-response behavior, bad numeric reserved-byte rejection, numeric-target type and ObjectPointer key-slot context gating, canonical zero-padding for one- and two-byte numeric values, bad-tail/truncated/invalid-UTF-8 ECU string-change rejection, type-aware object-pool upload parsing, typed bodies now cover all 48 declared VT ObjectType variants, serialized object-pool body/child-count/body-plus-child-tail overflow rejection, exactly-one Working Set validation, NULL object ID rejection before it can become a real pool object, Working Set child type validation for DataMask/AlarmMask-only children, SoftKeyMask direct Key/ObjectPointer/ExternalObjectPointer child validation including NULL slot pointers plus ExternalObjectPointer default-object slot retarget validation, KeyGroup key-child validation, Change Priority AlarmMask target and priority-range gating, Change Attribute AID admission including unsupported/read-only AID, wrong-type reference-valued AID, one- and two-byte scalar/reference field width checks, finite numeric scale checks, Button Options latchable-bit preservation, and out-of-range scalar option/format/justification/boolean/shape-angle/state-relative min-max value rejection, GraphicsContext payload/reference target validation plus F.57 response/error emission for known object-reference subcommands including drawable Draw VT Object targets and non-NULL Picture Graphic copy targets, Change List Item target and item-index bounds checks, Change Polygon Point target and point-index bounds checks, Change Child Location/Position parent-child relationship checks, Select Input Object option, target, response, active-mask visibility, and hidden-container checks, zero-screen rejection, VT-version 3..=6 validation before status advertisement, and a server-side semantic state cache for accepted ECU-to-VT change commands are tested. The server now records SelectActiveWorkingSet, Esc, HideShow, standard-target-gated EnableDisable, option-checked SelectInputObject plus response, audio signal/volume, parent-checked child location/position, size, background colour, endpoint, fixed Font/Line/Fill Attributes object-value commands, active mask, soft-key mask, AID-checked raw attributes, priority, bounds-checked list item, delete pool, string/numeric values, object label, bounds-checked polygon point, polygon scale, reference-checked GraphicsContext with standard FF-padded short-command admission, colour map, mask lock, and macro execution while ignoring malformed bool/tail/length/index/AID/reference/scalar-value/wrong-target/invalid-option/non-parent forms without cache mutation; add independent trace fixtures. Remaining H11 VT gap: the working-set state cache is not a renderer/layout engine."
